"age","job","civil","edu","credit","hloan","ploan","ctype","month","day","ccontact","lcdays","pcontact","presult","employment","cprice","cconf","euri3","employees","outcome"
30,"artisan","married","9K","no","yes","no","cellular","may","fri",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no"
39,"services","single","12K","no","no","no","telephone","may","fri",4,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
25,"services","married","12K","no","yes","no","telephone","jun","wed",1,999,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,"no"
38,"services","married","9K","no","unknown","unknown","telephone","jun","fri",3,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
47,"admin.","married","university","no","yes","no","cellular","nov","mon",1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no"
32,"services","single","university","no","no","no","cellular","sep","thu",3,999,2,"failure",-1.1,94.199,-37.5,0.884,4963.6,"no"
32,"admin.","single","university","no","yes","no","cellular","sep","mon",4,999,0,"nonexistent",-1.1,94.199,-37.5,0.879,4963.6,"no"
41,"entrepreneur","married","university","unknown","yes","no","cellular","nov","mon",2,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no"
31,"services","divorced","apprenticeship","no","no","no","cellular","nov","tue",1,999,1,"failure",-0.1,93.2,-42,4.153,5195.8,"no"
35,"artisan","married","9K","unknown","no","no","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
25,"services","single","6K","unknown","yes","no","cellular","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"no"
36,"selfemployed","single","4K","no","no","no","cellular","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no"
36,"admin.","married","12K","no","no","no","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
47,"artisan","married","4K","no","yes","no","telephone","jun","thu",2,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,"no"
29,"admin.","single","12K","no","no","no","cellular","may","fri",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no"
27,"services","single","university","no","no","no","cellular","jul","wed",2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
44,"admin.","divorced","university","no","no","no","cellular","jul","wed",6,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
46,"admin.","divorced","university","no","yes","no","telephone","jul","mon",4,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
45,"entrepreneur","married","university","unknown","yes","yes","cellular","aug","mon",2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
50,"artisan","married","4K","no","no","yes","cellular","jul","tue",1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"yes"
55,"services","married","6K","unknown","yes","no","cellular","jul","tue",6,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
39,"technician","divorced","12K","no","no","no","cellular","mar","mon",1,12,2,"success",-1.8,93.369,-34.8,0.639,5008.7,"yes"
29,"technician","single","university","no","yes","yes","cellular","aug","wed",3,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,"no"
40,"management","married","12K","no","no","yes","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
44,"technician","married","apprenticeship","unknown","yes","no","telephone","may","fri",7,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no"
38,"technician","married","apprenticeship","no","yes","no","cellular","aug","mon",1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"yes"
36,"technician","divorced","apprenticeship","no","no","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
28,"artisan","married","6K","unknown","no","no","cellular","may","mon",2,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,"no"
47,"admin.","single","unknown","unknown","no","no","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
34,"admin.","married","university","no","no","no","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
38,"technician","married","university","no","yes","yes","cellular","mar","tue",1,999,1,"failure",-1.8,92.843,-50,1.687,5099.1,"no"
33,"services","married","12K","unknown","yes","no","telephone","jun","mon",3,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"no"
51,"technician","single","university","no","no","no","cellular","jun","fri",2,999,0,"nonexistent",-2.9,92.963,-40.8,1.268,5076.2,"no"
30,"artisan","single","4K","unknown","yes","no","telephone","jun","tue",1,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
48,"technician","married","university","no","no","no","cellular","aug","thu",7,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,"no"
28,"artisan","single","9K","no","yes","no","telephone","jun","wed",1,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
36,"artisan","married","6K","no","yes","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
46,"management","divorced","12K","no","no","no","cellular","nov","wed",1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
31,"technician","single","unknown","no","yes","no","cellular","may","wed",1,999,1,"failure",-1.8,92.893,-46.2,1.334,5099.1,"no"
20,"student","single","unknown","no","no","no","cellular","oct","mon",3,999,3,"failure",-1.1,94.601,-49.5,0.977,4963.6,"no"
35,"services","married","12K","unknown","yes","no","cellular","may","tue",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,"no"
38,"artisan","married","9K","unknown","unknown","unknown","telephone","jun","fri",1,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no"
76,"retired","married","university","no","no","no","cellular","aug","thu",1,999,1,"failure",-1.7,94.027,-38.3,0.899,4991.6,"no"
45,"entrepreneur","divorced","apprenticeship","no","yes","no","cellular","jul","tue",3,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
32,"housemaid","married","4K","no","yes","yes","cellular","may","fri",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no"
